Artnr	ColorC	ColorN	Size	Price	Barcode	Besteld	Aantalp	Aantal
01412-20	000999 	black/off-white	XS/34	69,99	8719937474939	130	273	273
01412-20	000999 	black/off-white	S/36	69,99	8719937462264	401	842,1	842
01412-20	000999 	black/off-white	M/38	69,99	8719937474946	594	1247,4	1247
01412-20	000999 	black/off-white	L/40	69,99	8719937474953	582	1222,2	1222
01412-20	000999 	black/off-white	XL/42	69,99	8719937474960	454	953,4	953
01412-20	000999 	black/off-white	2XL/44	69,99	8719937474977	264	554,4	554
01412-20	000999 	black/off-white	3XL/46	69,99	8719937474984	81	170,1	170
03403-20	000720 	 sand combi	XS/34	59,99	8719937471129	16	33,6	34
03403-20	000720 	 sand combi	S/36	59,99	8719937458007	79	165,9	166
03403-20	000720 	 sand combi	M/38	59,99	8719937471136	105	220,5	221
03403-20	000720 	 sand combi	L/40	59,99	8719937471143	116	243,6	244
03403-20	000720 	 sand combi	XL/42	59,99	8719937471150	98	205,8	206
03403-20	000720 	 sand combi	2XL/44	59,99	8719937471167	64	134,4	134
03403-20	000720 	 sand combi	3XL/46	59,99	8719937471174	32	67,2	67
03408-20	000720 	 sand/coral combi	XS/34	69,99	8719937468969	20	42	42
03408-20	000720 	 sand/coral combi	S/36	69,99	8719937457482	39	81,9	82
03408-20	000720 	 sand/coral combi	M/38	69,99	8719937468976	61	128,1	128
03408-20	000720 	 sand/coral combi	L/40	69,99	8719937468983	68	142,8	143
03408-20	000720 	 sand/coral combi	XL/42	69,99	8719937468990	60	126	126
03408-20	000720 	 sand/coral combi	2XL/44	69,99	8719937469003	52	109,2	109
03408-20	000720 	 sand/coral combi	3XL/46	69,99	8719937469010	31	65,1	65
03414-20	000735 	 camel/green combi	XS/34	49,99	8719937468242	106	222,6	223
03414-20	000735 	 camel/green combi	S/36	49,99	8719937457536	478	1003,8	1004
03414-20	000735 	 camel/green combi	M/38	49,99	8719937468259	679	1425,9	1426
03414-20	000735 	 camel/green combi	L/40	49,99	8719937468266	700	1470	1470
03414-20	000735 	 camel/green combi	XL/42	49,99	8719937468273	614	1289,4	1289
03414-20	000735 	 camel/green combi	2XL/44	49,99	8719937468280	411	863,1	863
03414-20	000735 	 camel/green combi	3XL/46	49,99	8719937468297	149	312,9	313
03415-20	000625 	 blue/sand combi	XS/34	69,99	8719937467702	46	96,6	97
03415-20	000625 	 blue/sand combi	S/36	69,99	8719937459356	134	281,4	281
03415-20	000625 	 blue/sand combi	M/38	69,99	8719937467719	195	409,5	410
03415-20	000625 	 blue/sand combi	L/40	69,99	8719937467726	203	426,3	426
03415-20	000625 	 blue/sand combi	XL/42	69,99	8719937467733	175	367,5	368
03415-20	000625 	 blue/sand combi	2XL/44	69,99	8719937467740	134	281,4	281
03415-20	000625 	 blue/sand combi	3XL/46	69,99	8719937467757	71	149,1	149
03416-20	000720 	 sand	XS/34	44,99	8719937470108	67	140,7	141
03416-20	000720 	 sand	S/36	44,99	8719937459981	330	693	693
03416-20	000720 	 sand	M/38	44,99	8719937470115	513	1077,3	1077
03416-20	000720 	 sand	L/40	44,99	8719937470122	575	1207,5	1208
03416-20	000720 	 sand	XL/42	44,99	8719937470139	486	1020,6	1021
03416-20	000720 	 sand	2XL/44	44,99	8719937470146	345	724,5	725
03416-20	000720 	 sand	3XL/46	44,99	8719937470153	189	396,9	397
03417-20	000421 	 old pink/combi	XS/34	44,99	8719937468006	9	18,9	19
03417-20	000421 	 old pink/combi	S/36	44,99	8719937457543	49	102,9	103
03417-20	000421 	 old pink/combi	M/38	44,99	8719937468013	58	121,8	122
03417-20	000421 	 old pink/combi	L/40	44,99	8719937468020	64	134,4	134
03417-20	000421 	 old pink/combi	XL/42	44,99	8719937468037	59	123,9	124
03417-20	000421 	 old pink/combi	2XL/44	44,99	8719937468044	45	94,5	95
03417-20	000421 	 old pink/combi	3XL/46	44,99	8719937468051	23	48,3	48
03423-20	000999 	 black/green combi	XS/34	59,99	8719937468549	22	46,2	46
03423-20	000999 	 black/green combi	S/36	59,99	8719937457574	70	147	147
03423-20	000999 	 black/green combi	M/38	59,99	8719937468556	109	228,9	229
03423-20	000999 	 black/green combi	L/40	59,99	8719937468563	117	245,7	246
03423-20	000999 	 black/green combi	XL/42	59,99	8719937468570	94	197,4	197
03423-20	000999 	 black/green combi	2XL/44	59,99	8719937468587	74	155,4	155
03423-20	000999 	 black/green combi	3XL/46	59,99	8719937468594	28	58,8	59
03424-20	000999 	 black/green combi	XS/34	49,99	8719937468723	12	25,2	25
03424-20	000999 	 black/green combi	S/36	49,99	8719937457581	51	107,1	107
03424-20	000999 	 black/green combi	M/38	49,99	8719937468730	78	163,8	164
03424-20	000999 	 black/green combi	L/40	49,99	8719937468747	84	176,4	176
03424-20	000999 	 black/green combi	XL/42	49,99	8719937468754	71	149,1	149
03424-20	000999 	 black/green combi	2XL/44	49,99	8719937468761	48	100,8	101
03424-20	000999 	 black/green combi	3XL/46	49,99	8719937468778	23	48,3	48
03430-20	000421 	 old pink combi	XS/34	49,99	8719937468662	19	39,9	40
03430-20	000421 	 old pink combi	S/36	49,99	8719937457802	55	115,5	116
03430-20	000421 	 old pink combi	M/38	49,99	8719937468679	71	149,1	149
03430-20	000421 	 old pink combi	L/40	49,99	8719937468686	65	136,5	137
03430-20	000421 	 old pink combi	XL/42	49,99	8719937468693	54	113,4	113
03430-20	000421 	 old pink combi	2XL/44	49,99	8719937468709	37	77,7	78
03430-20	000421 	 old pink combi	3XL/46	49,99	8719937468716	17	35,7	36
03431-20	000550 	 army	XS/34	54,99	8719937484464	35	73,5	74
03431-20	000550 	 army	S/36	54,99	8719937471488	126	264,6	265
03431-20	000550 	 army	M/38	54,99	8719937484471	187	392,7	393
03431-20	000550 	 army	L/40	54,99	8719937484488	181	380,1	380
03431-20	000550 	 army	XL/42	54,99	8719937484495	149	312,9	313
03431-20	000550 	 army	2XL/44	54,99	8719937484501	93	195,3	195
03431-20	000550 	 army	3XL/46	54,99	8719937484518	19	39,9	40
03432-20	000009 	black/off-white/gold combi	XS/34	49,99	8719937469560	29	60,9	61
03432-20	000009 	black/off-white/gold combi	S/36	49,99	8719937459370	74	155,4	155
03432-20	000009 	black/off-white/gold combi	M/38	49,99	8719937469577	106	222,6	223
03432-20	000009 	black/off-white/gold combi	L/40	49,99	8719937469584	107	224,7	225
03432-20	000009 	black/off-white/gold combi	XL/42	49,99	8719937469591	94	197,4	197
03432-20	000009 	black/off-white/gold combi	2XL/44	49,99	8719937469607	61	128,1	128
03432-20	000009 	black/off-white/gold combi	3XL/46	49,99	8719937469614	27	56,7	57
03436-20	000999 	 black/sand combi	XS/34	49,99	8719937469447	42	88,2	88
03436-20	000999 	 black/sand combi	S/36	49,99	8719937457826	231	485,1	485
03436-20	000999 	 black/sand combi	M/38	49,99	8719937469454	361	758,1	758
03436-20	000999 	 black/sand combi	L/40	49,99	8719937469461	401	842,1	842
03436-20	000999 	 black/sand combi	XL/42	49,99	8719937469478	365	766,5	767
03436-20	000999 	 black/sand combi	2XL/44	49,99	8719937469485	247	518,7	519
03436-20	000999 	 black/sand combi	3XL/46	49,99	8719937469492	114	239,4	239
03438-20	000550 	 army/peach combi	XS/34	49,99	8719937470344	111	233,1	233
03438-20	000550 	 army/peach combi	S/36	49,99	8719937459387	502	1054,2	1054
03438-20	000550 	 army/peach combi	M/38	49,99	8719937470351	746	1566,6	1567
03438-20	000550 	 army/peach combi	L/40	49,99	8719937470368	771	1619,1	1619
03438-20	000550 	 army/peach combi	XL/42	49,99	8719937470375	656	1377,6	1378
03438-20	000550 	 army/peach combi	2XL/44	49,99	8719937470382	424	890,4	890
03438-20	000550 	 army/peach combi	3XL/46	49,99	8719937470399	160	336	336
03440-20	000720 	 sand/black combi	XS/34	59,99	8719937470580	30	63	63
03440-20	000720 	 sand/black combi	S/36	59,99	8719937457840	209	438,9	439
03440-20	000720 	 sand/black combi	M/38	59,99	8719937470597	274	575,4	575
03440-20	000720 	 sand/black combi	L/40	59,99	8719937470603	329	690,9	691
03440-20	000720 	 sand/black combi	XL/42	59,99	8719937470610	306	642,6	643
03440-20	000720 	 sand/black combi	2XL/44	59,99	8719937470627	258	541,8	542
03440-20	000720 	 sand/black combi	3XL/46	59,99	8719937470634	169	354,9	355
03441-20	000530 	 green/orange combi	XS/34	59,99	8719937469744	9	18,9	19
03441-20	000530 	 green/orange combi	S/36	59,99	8719937457857	37	77,7	78
03441-20	000530 	 green/orange combi	M/38	59,99	8719937469751	53	111,3	111
03441-20	000530 	 green/orange combi	L/40	59,99	8719937469768	60	126	126
03441-20	000530 	 green/orange combi	XL/42	59,99	8719937469775	56	117,6	118
03441-20	000530 	 green/orange combi	2XL/44	59,99	8719937469782	47	98,7	99
03441-20	000530 	 green/orange combi	3XL/46	59,99	8719937469799	19	39,9	40
03444-20	000720 	 sand/green combi	XS/34	59,99	8719937469508	146	306,6	307
03444-20	000720 	 sand/green combi	S/36	59,99	8719937457864	522	1096,2	1096
03444-20	000720 	 sand/green combi	M/38	59,99	8719937469515	753	1581,3	1581
03444-20	000720 	 sand/green combi	L/40	59,99	8719937469522	769	1614,9	1615
03444-20	000720 	 sand/green combi	XL/42	59,99	8719937469539	681	1430,1	1430
